ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
2/27/2011,893,0.740000009536743,0.740000009536743,0,0.300000011920929,0.159999996423721,0.259999990463257,0,3,18,55,1364,2450
2/28/2011,12687,9.28999996185303,9.28999996185303,0,3.34999990463257,3.00999999046326,2.89000010490417,0,44,88,176,761,2651
3/1/2011,8023,5.94000005722046,5.94000005722046,0,2.24000000953674,3.28999996185303,0.370000004768372,0,27,86,98,824,2339
3/2/2011,7834,5.80999994277954,5.80999994277954,0,2.5699999332428,2.90000009536743,0.300000011920929,0,32,70,80,808,2286
3/3/2011,20059,16.3799991607666,16.3799991607666,0,8.64999961853027,2.9300000667572,4.40999984741211,0,93,99,199,640,3113
3/4/2011,10436,7.48000001907349,7.48000001907349,0,1.66999995708466,4.98000001907349,0.829999983310699,0,21,122,192,647,2546
3/5/2011,10665,12.0500001907349,12.0500001907349,0,7.92000007629395,1.78999996185303,1.48000001907349,0.00999999977648258,45,70,210,585,2865
3/6/2011,10386,10.7700004577637,10.7700004577637,0,7.92999982833862,2.15000009536743,0.680000007152557,0,51,67,165,587,2848
3/7/2011,19047,13.8100004196167,13.8100004196167,0,2.67000007629395,4.38000011444092,6.75,0,33,114,168,660,2598
3/8/2011,15227,14.1499996185303,14.1499996185303,0,9.40999984741211,3.95000004768372,0.790000021457672,0.00999999977648258,71,91,129,664,2977
3/9/2011,12261,8.9399995803833,8.9399995803833,0,2.59999990463257,3.0699999332428,3.21000003814697,0,30,101,137,697,2454
3/10/2011,16648,13.8299999237061,13.8299999237061,0,9.88000011444092,3.24000000953674,0.699999988079071,0,111,91,130,608,3081
3/11/2011,10599,7.67999982833862,7.67999982833862,0,2.24000000953674,4.90000009536743,0.529999971389771,0.00999999977648258,29,100,78,753,2361
3/12/2011,13307,9.61999988555908,9.61999988555908,0,3.3199999332428,5.3600001335144,0.939999997615814,0,40,143,120,1137,2612
3/13/2011,10133,9.21000003814697,9.21000003814697,0,5.71999979019165,3.00999999046326,0.479999989271164,0,43,71,92,730,2526
3/14/2011,11770,8.52000045776367,8.52000045776367,0,2.05999994277954,3.69000005722046,2.76999998092651,0,25,89,145,639,2426
3/15/2011,12214,8.76000022888184,8.76000022888184,0,2.98000001907349,5.44000005722046,0.330000013113022,0,41,100,96,707,2508
3/16/2011,15556,11.460000038147,11.460000038147,0,2.77999997138977,4.57000017166138,4.09999990463257,0.00999999977648258,33,99,163,611,2568
3/17/2011,10046,7.19999980926514,7.19999980926514,0,2.32999992370605,4.44999980926514,0.430000007152557,0,32,87,74,787,2286
3/18/2011,14030,10.210000038147,10.210000038147,0,2.09999990463257,4.17999982833862,3.91000008583069,0.00999999977648258,26,103,153,655,2497
3/19/2011,6318,4.6100001335144,4.6100001335144,0,2.05999994277954,2.08999991416931,0.449999988079071,0,27,64,132,703,2289
3/20/2011,10014,8.27000045776367,8.27000045776367,0,5.13000011444092,2.17000007629395,0.959999978542328,0,57,78,146,750,2635
3/21/2011,12613,9.19999980926514,9.19999980926514,0,2.61999988555908,6.23999977111816,0.340000003576279,0,30,118,88,666,2488
3/22/2011,11764,8.51000022888184,8.51000022888184,0,2.71000003814697,5.32999992370605,0.469999998807907,0,34,110,109,704,2455
3/23/2011,25237,20.5100002288818,20.5100002288818,0,7.1100001335144,3.99000000953674,9.39999961853027,0.00999999977648258,57,107,265,481,3145
3/24/2011,10827,10.1000003814697,10.1000003814697,0,6.59000015258789,2.91000008583069,0.589999973773956,0,53,77,148,658,2761
