id,birth,gender,hispanic,race,race2,education,height,weight,pregnant,marital,workhours,income,staging1,staging2,staging3,change1,change2,change3,change4,change5,change6,change7,change8,change9,change10,change11,change12,change13,change14,change15,procon1,procon2,procon3,procon4,procon5,procon6,procon7,procon8,conf1,conf2,conf3,conf4,conf5,conf6,support1,support2,support3,support4,support5,enjoy1,enjoy2,enjoy3,enjoy4,friendfam,leisure,sedweek1,sedweek2,sedweek3,sedweek4,sedweek5,sedweek6,sedweek7,sedweek8,sedweek9,sedwkend1,sedwkend2,sedwkend3,sedwkend4,sedwkend5,sedwkend6,sedwkend7,sedwkend8,sedwkend9,PAR1,PAR2,PAR3,PARS1,PARS2,PARS3,PARS4,PARS5,PARS6,PARS7,PAR
18,1957,1,0,1,,5,73,188,2,1,3,11,7,,1,4,5,3,4,1,2,3,5,5,4,5,3,2,5,4,5,1,4,1,5,2,4,1,4,5,4,5,4,5,3,4,2,3,5,5,3,4,5,1,3,2,1,0,0,6,0,0,0,0,2.5,2,0,0,1,0,0,0,1,,,,,,,,,,,
19,1955,2,0,1,,3,66,180,0,1,2,9,7,,1,4,4,2,4,5,3,5,5,4,3,3,5,2,5,3,5,2,5,1,5,3,5,2,3,4,2,3,3,5,5,3,5,5,4,4,4,2,5,3,4,3,1,0.5,0.5,1,3,0,0,0.5,5,0.5,1,1,0,1.5,0,0,0.5,,,,,,,,,,,
20,1981,1,0,3,4,7,71,174,2,1,3,11,1,1,,2,4,3,3,1,1,4,5,5,3,3,1,3,2,2,5,1,3,1,5,1,3,1,3,2,2,2,3,5,2,3,1,2,2,3,5,5,1,2,2,2.5,1.5,0,1,6,1,0,0,1.5,3.5,1.5,0,0.5,1,0.5,0,0,1,,,,,,,,,,,
21,1983,2,0,1,,7,69,200,0,3,3,5,2,2,,3,4,3,4,2,2,3,4,3,3,3,3,4,4,2,4,3,5,2,3,3,5,1,2,3,4,2,2,4,3,2,3,2,3,4,4,3,3,1,2,3,1,1,0,6,0.5,0,0,1.5,4,2,0.5,0,3,1,0,0,2,,,,,,,,,,,
22,1977,2,1,,,6,62,140,1,1,3,10,1,0,,3,2,3,3,1,1,1,3,4,2,5,3,1,3,1,5,2,5,1,4,1,4,1,2,2,2,1,1,3,1,1,2,3,4,4,5,2,4,2,2,2,0.5,0,0.25,6,0,0,0,1,6,0.5,0,0.5,0,0,0,0,1,,,,,,,,,,,
23,1965,2,0,1,,5,66,125,0,1,3,11,4,0,,1,3,1,1,1,1,3,4,1,1,1,3,2,3,2,4,1,4,1,4,1,4,1,5,4,1,1,4,2,3,1,1,1,3,5,1,4,5,1,2,0.5,0.5,0,0,6,0.25,0,0,2.5,2,0.5,0,0.25,1,0.25,0,0,0.5,,,,,,,,,,,
24,1990,2,0,1,,6,72,145,0,3,3,4,5,,0,3,2,4,4,3,3,5,4,4,2,3,4,3,4,4,4,4,2,2,4,1,3,3,3,2,1,2,4,3,4,1,4,2,5,4,3,4,4,3,4,0.5,0.5,0,0.5,6,1,0,0,0.5,0.5,0,0,0.5,0,0.5,0,0,0.5,,,,,,,,,,,
25,1987,2,0,1,,6,67,136,0,3,3,5,7,,1,4,5,4,2,2,5,5,4,5,4,5,5,4,4,3,5,1,5,1,5,1,5,1,3,5,4,3,5,5,5,1,1,4,4,5,5,3,3,3,4,1,0,0,0,6,0.5,0,0,1.5,2,1,0,0,0,1,0,0,1,,,,,,,,,,,
26,1965,2,0,1,,7,63,170,0,2,3,9,7,,1,5,5,5,5,3,3,4,5,5,5,4,4,5,5,5,5,1,5,1,5,1,5,1,5,5,5,5,5,5,5,3,5,3,5,5,1,4,3,4,5,1,0.5,0,0.25,5,0,0,0,0.5,2.5,3,0,0.25,1,1,0,0,0.5,,,,,,,,,,,
27,1966,2,1,,,6,64,147,1,1,3,,5,,0,4,5,3,5,5,2,4,4,4,4,4,3,2,4,2,5,1,5,2,5,1,5,1,2,4,2,4,3,5,4,1,4,3,2,5,3,3,3,4,3,1,0.25,0,1,6,0,0,0,1,3,0.5,0,2,0,0.5,0,0,2,,,,,,,,,,,
28,1975,1,1,,,5,73,360,2,2,3,9,7,,0,3,5,2,3,1,1,4,5,5,2,5,4,3,5,3,3,1,5,2,3,1,5,1,3,5,2,3,5,5,3,1,2,1,1,4,4,5,2,2,3,4,2,0,1,6,0,0,0,0,5,6,0,1,0,0,0,0,3,,,,,,,,,,,
29,1972,1,0,1,,5,72,200,2,1,3,10,4,1,0,3,3,2,2,1,1,4,3,2,2,4,4,2,3,1,4,3,5,2,3,3,4,4,2,3,2,3,1,2,4,1,3,1,5,2,3,4,5,3,2,1,1,0,0,6,0.5,0,0,0.5,1,2,1,0,1,1,0,4,0.5,,,,,,,,,,,
30,1983,2,1,,,6,62,106,0,1,3,11,4,1,,5,4,4,3,2,3,5,5,5,4,4,5,5,4,3,4,1,4,1,5,1,4,1,3,4,2,3,1,5,5,4,5,4,5,5,4,3,4,4,3,1,0,0,0.25,5,0.25,0,0,1,2,,0.5,0.5,0,0.25,0,0,1,,,,,,,,,,,
